D_TEXT_TOOLTIP_DRAGON_TROOPER,Primitive reptiloid warriors fiercely loyal to Delurin and equipped with ornate metal armor and flamethrowers to more closely resemble the Dragons of ancient myth. Unacquainted with blaster weaponry and other advanced technology, they are nonetheless resilient and quick on their feet.
D_TEXT_TOOLTIP_DRAGON_TROOPER_COMPANY,Company: 36x Dragon Trooper
TEXT_ETA2_SQUADRON_HALF,Eta-2 Actis Squadron 1/2
TEXT_ETA2_SQUADRON2,Eta-2 Actis Squadron x2
TEXT_EVENT_WARLORD_CHOICE_GRUNGER,Grunger's Empire
TEXT_EVENT_WARLORD_CHOICE_PRAJI,Imperial Kaikielius
TEXT_EVENT_WARLORD_CHOICE_THORN,Daymon Thorn's Empire
TEXT_GOVERNMENT_PROTEUS_MARKET_KUAT,KDY Market:
TEXT_GOVERNMENT_PROTEUS_MARKET_OVERVIEW_KUAT,Every galactic cycle, new ships or ground vehicles may appear on the KDY market. These are units not typically available to the faction. You can see all units currently available and the amounts they're available in listed below.
TEXT_GROUND_BISCUIT_BARON,Biscuit Baron
TEXT_H60_SQUADRON,H-60 Tempest Squadron
TEXT_H60_SQUADRON_HALF,H-60 Tempest Squadron 1/2
TEXT_H60_SQUADRON2,H-60 Tempest Squadron x2
TEXT_HERO_BENJO,Benjo
TEXT_HERO_BRELLAR,Alecs Brellar
TEXT_HERO_CEX,Tyionsis Cex
TEXT_HERO_DEMOS,Demos
TEXT_HERO_DOMINA_TAGGE,Domina Tagge
TEXT_HERO_GURNST,Gurnst
TEXT_HERO_HSSISSK,Hssissk
TEXT_HERO_IRRV,Dimone Irrv
TEXT_HERO_JAEFFIS,Jaeffis
TEXT_HERO_KILE_HANNAD,Kile Hannad
TEXT_HERO_KLEMP,Klemp
TEXT_HERO_MAHKKAR,Mahk'Kar
TEXT_HERO_MALLAT,Zeven Mallat
TEXT_HERO_MERILI,Merili
TEXT_HERO_NAMMAN,Namman Cha
TEXT_HERO_RBANN,Rbann
TEXT_HERO_RED_STAR,Iran Ryad
TEXT_HERO_REE_SHALA,Ree Shala
TEXT_HERO_ROEK,Roek
TEXT_HERO_SCHMONG,Kiara Schmong
TEXT_HERO_SHARAOR,Shara-Or
TEXT_HERO_T11,T-11
TEXT_HERO_TEZRIN,Dongal Tezrin
TEXT_HERO_THETA,Theta Leader
TEXT_HERO_YARNAR,Yarnar
TEXT_HERO_YEORG_CAPTISON,Yeorg Captison
TEXT_IXIYEN_FIGHTER_SQUADRON,Ixiyen Fighter Squadron
TEXT_IXIYEN_FIGHTER_SQUADRON_HALF,Ixiyen Fighter Squadron 1/2
TEXT_IXIYEN_FIGHTER_SQUADRON2,Ixiyen Fighter Squadron x2
TEXT_KIHRAXZ_SQUADRON,Kihraxz Fighter Squadron
TEXT_KIHRAXZ_SQUADRON_HALF,Kihraxz Fighter Squadron 1/2
TEXT_KIHRAXZ_SQUADRON2,Kihraxz Fighter Squadron x2
TEXT_MANTA_FIGHTER_SQUADRON,Manta Fighter Squadron
TEXT_MANTA_FIGHTER_SQUADRON_HALF,Manta Fighter Squadron 1/2
TEXT_MANTA_FIGHTER_SQUADRON2,Manta Fighter Squadron x2
TEXT_MISSILE_TIE_FIGHTER_SQUADRON,Missile Refit TIE Fighter Squadron
TEXT_MISSILE_TIE_FIGHTER_SQUADRON_HALF,Missile Refit TIE Fighter Squadron 1/2
TEXT_MISSILE_TIE_FIGHTER_SQUADRON2,Missile Refit TIE Fighter Squadron x2
TEXT_NOTE,Put text changes for submods here
TEXT_NTB_630_SQUADRON,NTB-630 Squadron
TEXT_NTB_630_SQUADRON_HALF,NTB-630 Squadron 1/2
TEXT_NTB_630_SQUADRON2,NTB-630 Squadron x2
TEXT_PROTEUS_DESCRIPTION_GRUNGER,One of the original twelve Grand Admirals, Grunger wasted no time consolidating his powerbase and making a play for control of the Imperial Remnant once he learned of Palpatine's death. Aggressive and capable, he was one of the main contenders for the Imperial Throne, and his growing strength worried the Central Committee of Grand Moffs and other Imperial warlords.
TEXT_PROTEUS_DESCRIPTION_PRAJI,After conquering his ancient family home world of Kaikielius, Nahdonnis Praji met with the reborn Emperor Palpatine in person for the first time, and upon experiencing the Emperor's apparent madness first hand, decided to retire to governorship of the planet. This saved him from the immolation of the Dark Empire shortly thereafter, but left him and his new fiefdom isolated as a resurgent New Republic and vengeful Imperial warlords all laid claim to the core and deep core regions.
TEXT_PROTEUS_DESCRIPTION_THORN,A secretive dark jedi who pledged his allegiance to the Emperor while serving his own agenda, Daymon Thorn, also known as the Wardog of the Empire, has returned from his sujourn at the news of the Emperor's death. With a small army of followers and the power of a set of ancient crystals at his disposal, he seeks to claim the Imperial Throne for himself, and himself alone.
TEXT_PROTEUS_ROSTER_LAMBDA,Moff Lankin's forces are versatile and unspecialized, with a significant ISB contingent among their ranks to help keep the restive population in line. In space, a roster of efficient vessels can react to any situation and provide support to the massive battlecruisers that serve as anchors of the fleet. On the ground, their armies are adaptable, with a noticeable focus on mechanized assaults.
TEXT_REPUBLIC_HEADHUNTER_SQUADRON,Republic Z-95 Squadron
TEXT_REPUBLIC_HEADHUNTER_SQUADRON_DOUBLE,Republic Z-95 Squadron x2
TEXT_REPUBLIC_HEADHUNTER_SQUADRON_HALF,Republic Z-95 Squadron 1/2
TEXT_REPUBLIC_TIE_SQUADRON,T.I.E. Starfighter Squadron
TEXT_REPUBLIC_TIE_SQUADRON_HALF,T.I.E. Starfighter Squadron 1/2
TEXT_REPUBLIC_TIE_SQUADRON2,T.I.E. Starfighter Squadron x2
TEXT_RESEARCH_SELLASAS_SWAP1_DESCRIPTION,Switch the loadouts of newly commissioned Dreadnaught, Carrack and Neutron Star Cruisers and Victory and Imperial Star Destroyers to more support-oriented configurations.
TEXT_RESEARCH_SELLASAS_SWAP1_NAME,Switch to Support Loadouts
TEXT_RESEARCH_SELLASAS_SWAP2_DESCRIPTION,Switch the loadouts of newly commissioned Dreadnaught, Carrack and Neutron Star Cruisers and Victory and Imperial Star Destroyers to more firepower-centric configurations. 
TEXT_RESEARCH_SELLASAS_SWAP2_NAME,Switch to Combat Loadouts
TEXT_SHIELDED_MISSILE_TIE_FIGHTER_SQUADRON,Shielded Missile TIE F⁬ighter Squadron
TEXT_SHIELDED_MISSILE_TIE_FIGHTER_SQUADRON_HALF,Shielded Missile TIE F⁬ighter Squadron 1/2
TEXT_SHIELDED_MISSILE_TIE_FIGHTER_SQUADRON2,Shielded Missile TIE F⁬ighter Squadron x2
TEXT_SHIELDED_TIE_BOMBER_SQUADRON,Shielded TIE Bomber Squadron
TEXT_SHIELDED_TIE_BOMBER_SQUADRON_HALF,Shielded TIE Bomber Squadron 1/2
TEXT_SHIELDED_TIE_BOMBER2_SQUADRON,Shielded TIE Bomber Squadron x2
TEXT_STARWING_ASSAULT_SQUADRON,Xg-1 Star Wing Assault Squadron
TEXT_STARWING_ASSAULT_SQUADRON_HALF,Xg-1 Star Wing Assault Squadron 1/2
TEXT_STARWING_ASSAULT_SQUADRON2,Xg-1 Star Wing Assault Squadron x2
TEXT_STARWING_FIGHTER_SQUADRON,Xg-1 Star Wing Fighter Squadron
TEXT_STARWING_FIGHTER_SQUADRON_HALF,Xg-1 Star Wing Fighter Squadron 1/2
TEXT_STARWING_FIGHTER_SQUADRON2,Xg-1 Star Wing Fighter Squadron x2
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ELITE_SQUADRON,Squadron: 12x Elite Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ELITE_SQUADRON_DOUBLE,Squadron: 24x Elite Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ELITE_SQUADRON_HALF,Squadron: 6x Elite Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ELITE_WEAP1,1x Heavy Fighter Laser Cannon: 6 / 3.0s / 1.0km
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ELITE_WEAP2,1x Fighter Proton Torpedo: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ION_SQUADRON,Squadron: 12x Ion Refit Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ION_SQUADRON_DOUBLE,Squadron: 24x Ion Refit Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ION_SQUADRON_HALF,Squadron: 6x Ion Refit Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_ION_WEAP2,1x Fighter Ion Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_MISSILE_SQUADRON,Squadron: 12x Missile Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_MISSILE_SQUADRON_DOUBLE,Squadron: 24x Missile Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_MISSILE_SQUADRON_HALF,Squadron: 6x Missile Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_MISSILE_WEAP2,1x Fighter Assault Concussion Missile (AC): 1 / 50.0s / 1.8km
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_MISSILE_WEAP3,1x Fighter Flechette Missile (AF): 1 / 50.0s / 1.8km
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_UPGUNNED_SQUADRON,Squadron: 12x Upgunned Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_UPGUNNED_SQUADRON_DOUBLE,Squadron: 24x Upgunned Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_UPGUNNED_SQUADRON_HALF,Squadron: 6x Upgunned Heavy TIE Interceptor
TEXT_STATBLOCK_AS_TIE_INTERCEPTOR_UPGUNNED_WEAP2,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_BELBULLAB22_BASE,Health: 16 | Shields: 6
TEXT_STATBLOCK_BELBULLAB22_GRIEVOUS_BASE,Health: 220 | Shields: 200
TEXT_STATBLOCK_BELBULLAB22_MOVE,Speed: 5.05 | Maneuverability: 3.94
TEXT_STATBLOCK_BELBULLAB22_SQUADRON,Squadron: 12x Belbullab-22
TEXT_STATBLOCK_BELBULLAB22_SQUADRON_DOUBLE,Squadron: 24x Belbullab-22
TEXT_STATBLOCK_BELBULLAB22_SQUADRON_HALF,Squadron: 6x Belbullab-22
TEXT_STATBLOCK_BELBULLAB22_WEAP1,1x Fighter Laser Cannon: 6 / 2.0s / 1.0km
TEXT_STATBLOCK_BELBULLAB23_ESCORT_BASE,Health: 140 | Shields: 80
TEXT_STATBLOCK_BELBULLAB23_MOVE,Speed: 4.8 | Maneuverability: 3.75
TEXT_STATBLOCK_BELBULLAB23_NWON_RAINES_BASE,Health: 280 | Shields: 160
TEXT_STATBLOCK_BELBULLAB23_SQUADRON,Squadron: 12x Belbullab-23
TEXT_STATBLOCK_BELBULLAB23_WEAP1,1x Fighter Laser Cannon: 6 / 2.0s / 1.0km
TEXT_STATBLOCK_BELBULLAB23_WEAP2,1x Fighter Concussion Missile: 1 / 37.5s / 1.8km
TEXT_STATBLOCK_BELBULLAB24_BASE,Health: 16 | Shields: 6
TEXT_STATBLOCK_BELBULLAB24_MOVE,Speed: 4.55 | Maneuverability: 3.55
TEXT_STATBLOCK_BELBULLAB24_SQUADRON,Squadron: 12x Belbullab-24
TEXT_STATBLOCK_BELBULLAB24_SQUADRON_DOUBLE,Squadron: 24x Belbullab-24
TEXT_STATBLOCK_BELBULLAB24_SQUADRON_HALF,Squadron: 6x Belbullab-24
TEXT_STATBLOCK_BELBULLAB24_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_BELBULLAB24_WEAP2,1x Proton Rocket (AC): 1 / 25.0s / 3.0km
TEXT_STATBLOCK_BELBULLAB24_WEAP3,1x Concussion Bomb (AC): 1 / 30.0s / 0.8km
TEXT_STATBLOCK_BENJO_BASE,Health: 300 | Unshielded
TEXT_STATBLOCK_BTLA2_YWING_BASE,Health: 18 | Shields: 8
TEXT_STATBLOCK_BTLA2_YWING_MOVE,Speed: 4.26 | Maneuverability: 3.15
TEXT_STATBLOCK_BTLA2_YWING_SQUADRON,Squadron: 12x BTL-A2 Y-wing
TEXT_STATBLOCK_BTLA2_YWING_SQUADRON_DOUBLE,Squadron: 24x BTL-A2 Y-wing
TEXT_STATBLOCK_BTLA2_YWING_SQUADRON_HALF,Squadron: 6x BTL-A2 Y-wing
TEXT_STATBLOCK_BTLA2_YWING_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_BTLA2_YWING_WEAP2,1x Heavy Fighter Proton Torpedo: 1 / 30.0s / 1.4km
TEXT_STATBLOCK_BTLB_YWING_JEDI_BASE,Health: 300 [2%/5s] | Shields: 80
TEXT_STATBLOCK_BTLB_YWING_SHADOW_BASE,Health: 110 | Shields: 60
TEXT_STATBLOCK_COYOTE_BOMBER_BASE,Health: 10 | Shields: 3
TEXT_STATBLOCK_COYOTE_BOMBER_MOVE,Speed: 5.85 | Maneuverability: 4.25
TEXT_STATBLOCK_COYOTE_BOMBER_SQUADRON,Squadron: 24x Coyote Advanced Droid Bomber
TEXT_STATBLOCK_COYOTE_BOMBER_SQUADRON_DOUBLE,Squadron: 48x Coyote Advanced Droid Bomber
TEXT_STATBLOCK_COYOTE_BOMBER_SQUADRON_HALF,Squadron: 12x Coyote Advanced Droid Bomber
TEXT_STATBLOCK_COYOTE_BOMBER_WEAP1,3x Fighter Laser Cannons: 2 / 3.0s / 1.0km
TEXT_STATBLOCK_COYOTE_BOMBER_WEAP2,1x Light Proton Rocket (AC): 1 / 30.0s / 3.0km
TEXT_STATBLOCK_COYOTE_BOMBER_WEAP3,1x Light Concussion Bomb (AC): 1 / 25.0s / 0.8km
TEXT_STATBLOCK_ETA2_ASSAULT_SQUADRON,Squadron: 12x Assault Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_ASSAULT_SQUADRON_DOUBLE,Squadron: 24x Assault Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_ASSAULT_SQUADRON_HALF,Squadron: 6x Assault Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_BASE,Health: 10 | Unshielded
TEXT_STATBLOCK_ETA2_DEFENSE_BASE,Health: 11 | Shields: 3
TEXT_STATBLOCK_ETA2_DEFENSE_MOVE,Speed: 8.63 | Maneuverability: 4.08
TEXT_STATBLOCK_ETA2_DEFENSIVE_SQUADRON,Squadron: 12x Heavy Defense Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_DEFENSIVE_SQUADRON_DOUBLE,Squadron: 24x Heavy Defense Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_DEFENSIVE_SQUADRON_HALF,Squadron: 6x Heavy Defense Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_JEDI_BASE,Health: 360 [2%/5s] | Unshielded
TEXT_STATBLOCK_ETA2_MANEUVER_BASE,Health: 9 | Unshielded
TEXT_STATBLOCK_ETA2_MANEUVER_MOVE,Speed: 9.8 | Maneuverability: 5.52
TEXT_STATBLOCK_ETA2_MANEUVER_SQUADRON,Squadron: 12x High Maneuver Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_MANEUVER_SQUADRON_DOUBLE,Squadron: 24x High Maneuver Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_MANEUVER_SQUADRON_HALF,Squadron: 6x High Maneuver Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_MISSILE_SQUADRON,Squadron: 12x Missile Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_MISSILE_SQUADRON_DOUBLE,Squadron: 24x Missile Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_MISSILE_SQUADRON_HALF,Squadron: 6x Missile Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_MOVE,Speed: 9.8 | Maneuverability: 4.8
TEXT_STATBLOCK_ETA2_SQUADRON,Squadron: 12x Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_SQUADRON_DOUBLE,Squadron: 24x Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_SQUADRON_HALF,Squadron: 6x Eta-2 Actis Interceptor
TEXT_STATBLOCK_ETA2_WEAP1,1x Fighter Laser Cannon: 4 / 2.0s / 1.1km
TEXT_STATBLOCK_ETA2_WEAP2,1x Fighter Ion Cannon: 2 / 2.0s / 1.1km
TEXT_STATBLOCK_ETA2_WEAP3,1x Fighter Concussion Missile: 1 / 37.5s / 1.8km
TEXT_STATBLOCK_ETA2_WEAP4,1x Fighter Assault Concussion Missile: 1 / 75.0s / 1.8km
TEXT_STATBLOCK_GUNBOAT_ASSAULT_SQUADRON,Squadron: 12x Xg-1 Star Wing Assault
TEXT_STATBLOCK_GUNBOAT_ASSAULT_SQUADRON_DOUBLE,Squadron: 24x Xg-1 Star Wing Assault
TEXT_STATBLOCK_GUNBOAT_ASSAULT_SQUADRON_HALF,Squadron: 6x Xg-1 Star Wing Assault
TEXT_STATBLOCK_GUNBOAT_FIGHTER_SQUADRON,Squadron: 12x Xg-1 Star Wing Fighter
TEXT_STATBLOCK_GUNBOAT_FIGHTER_SQUADRON_DOUBLE,Squadron: 24x Xg-1 Star Wing Fighter
TEXT_STATBLOCK_GUNBOAT_FIGHTER_SQUADRON_HALF,Squadron: 6x Xg-1 Star Wing Fighter
TEXT_STATBLOCK_GUNBOAT_WEAP5,1x Fighter Concussion Missile: 1 / 30.0s / 1.8km
TEXT_STATBLOCK_GUNBOAT_WEAP6,1x Fighter Proton Torpedo: 1 / 30.0s / 1.4km
TEXT_STATBLOCK_GUNBOAT_WEAP7,1x Fighter Assault Concussion Missile: 1 / 37.5s / 1.8km
TEXT_STATBLOCK_H60_BASE,Health: 16 | Shields: 10
TEXT_STATBLOCK_H60_MOVE,Speed: 5.54 | Maneuverability: 3.0
TEXT_STATBLOCK_H60_SQUADRON,Squadron: 12x H-60 Tempest
TEXT_STATBLOCK_H60_SQUADRON_DOUBLE,Squadron: 24x H-60 Tempest
TEXT_STATBLOCK_H60_SQUADRON_HALF,Squadron: 6x H-60 Tempest
TEXT_STATBLOCK_H60_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.1km
TEXT_STATBLOCK_H60_WEAP2,1x Fighter Ion Cannon: 2 / 2.0s / 1.0km
TEXT_STATBLOCK_H60_WEAP3,1x Proton Rocket (AC): 1 / 30.0s / 3.0km
TEXT_STATBLOCK_H60_WEAP4,1x Concussion Bomb (AC): 1 / 18.75s / 0.8km
TEXT_STATBLOCK_HSSISSK_BASE,Health: 250 | Shields: 150
TEXT_STATBLOCK_HSSISSK_ESCORT_BASE,Health: 140 | Shields: 60
TEXT_STATBLOCK_HSSISSK_Z95_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 2.0s / 1.0km
TEXT_STATBLOCK_HSSISSK_Z95_WEAP2,1x Fighter Flechette Slugthrower: 2 / 2.5s / 1.0km
TEXT_STATBLOCK_IRAN_RYAD_TIE_DEFENDER_BASE,Health: 180 | Shields: 240
TEXT_STATBLOCK_MANTA_FIGHTER_BASE,Health: 10 | Shields: 5
TEXT_STATBLOCK_MANTA_FIGHTER_MOVE,Speed: 9.2 | Maneuverability: 4.0
TEXT_STATBLOCK_MANTA_FIGHTER_SQUADRON,Squadron: 12x Manta Fighter
TEXT_STATBLOCK_MANTA_FIGHTER_SQUADRON_DOUBLE,Squadron: 24x Manta Fighter
TEXT_STATBLOCK_MANTA_FIGHTER_SQUADRON_HALF,Squadron: 6x Manta Fighter
TEXT_STATBLOCK_MANTA_FIGHTER_WEAP1,1x Heavy Fighter Laser Cannon: 4 / 3.0s / 1.1km
TEXT_STATBLOCK_MANTA_FIGHTER_WEAP2,1x Fighter Laser Cannon: 4 / 3.0s / 1.0km
TEXT_STATBLOCK_MANTA_FIGHTER_WEAP3,1x Fighter Ion Cannon: 2 / 2.0s / 1.0km
TEXT_STATBLOCK_NTB_630_ARON_ONSTALL_BASE,Health: 200 | Shields: 180
